idx,Syll-Type,Premise,Hypothesis,label
90025,2,All Gambians are Childcare workers and some Gambians are Insect collectors.,All Insect collectors are Childcare workers.,2
90026,2,All Gambians are Chiropractors and some Gambians are Insect collectors.,All Insect collectors are Chiropractors.,2
90027,2,All Gambians are Civil engineers and some Gambians are Insect collectors.,All Insect collectors are Civil engineers.,2
90028,2,All Gambians are Clergys and some Gambians are Insect collectors.,All Insect collectors are Clergys.,2
90029,2,All Gambians are Commercial divers and some Gambians are Insect collectors.,All Insect collectors are Commercial divers.,2
90030,2,All Georgians are Bailiffs and some Georgians are Insect collectors.,All Insect collectors are Bailiffs.,2
90031,2,All Georgians are Bakers and some Georgians are Insect collectors.,All Insect collectors are Bakers.,2
90032,2,All Georgians are Barbers and some Georgians are Insect collectors.,All Insect collectors are Barbers.,2
90033,2,All Georgians are Bartenders and some Georgians are Insect collectors.,All Insect collectors are Bartenders.,2
90034,2,All Georgians are Boilermakers and some Georgians are Insect collectors.,All Insect collectors are Boilermakers.,2
90035,2,All Georgians are Brokerage clerks and some Georgians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90036,2,All Georgians are Budget analysts and some Georgians are Insect collectors.,All Insect collectors are Budget analysts.,2
90037,2,All Georgians are Carpenters and some Georgians are Insect collectors.,All Insect collectors are Carpenters.,2
90038,2,All Georgians are Cashiers and some Georgians are Insect collectors.,All Insect collectors are Cashiers.,2
90039,2,All Georgians are Chief executives and some Georgians are Insect collectors.,All Insect collectors are Chief executives.,2
90040,2,All Georgians are Childcare workers and some Georgians are Insect collectors.,All Insect collectors are Childcare workers.,2
90041,2,All Georgians are Chiropractors and some Georgians are Insect collectors.,All Insect collectors are Chiropractors.,2
90042,2,All Georgians are Civil engineers and some Georgians are Insect collectors.,All Insect collectors are Civil engineers.,2
90043,2,All Georgians are Clergys and some Georgians are Insect collectors.,All Insect collectors are Clergys.,2
90044,2,All Georgians are Commercial divers and some Georgians are Insect collectors.,All Insect collectors are Commercial divers.,2
90045,2,All Germans are Bailiffs and some Germans are Insect collectors.,All Insect collectors are Bailiffs.,2
90046,2,All Germans are Bakers and some Germans are Insect collectors.,All Insect collectors are Bakers.,2
90047,2,All Germans are Barbers and some Germans are Insect collectors.,All Insect collectors are Barbers.,2
90048,2,All Germans are Bartenders and some Germans are Insect collectors.,All Insect collectors are Bartenders.,2
90049,2,All Germans are Boilermakers and some Germans are Insect collectors.,All Insect collectors are Boilermakers.,2
90050,2,All Germans are Brokerage clerks and some Germans are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90051,2,All Germans are Budget analysts and some Germans are Insect collectors.,All Insect collectors are Budget analysts.,2
90052,2,All Germans are Carpenters and some Germans are Insect collectors.,All Insect collectors are Carpenters.,2
90053,2,All Germans are Cashiers and some Germans are Insect collectors.,All Insect collectors are Cashiers.,2
90054,2,All Germans are Chief executives and some Germans are Insect collectors.,All Insect collectors are Chief executives.,2
90055,2,All Germans are Childcare workers and some Germans are Insect collectors.,All Insect collectors are Childcare workers.,2
90056,2,All Germans are Chiropractors and some Germans are Insect collectors.,All Insect collectors are Chiropractors.,2
90057,2,All Germans are Civil engineers and some Germans are Insect collectors.,All Insect collectors are Civil engineers.,2
90058,2,All Germans are Clergys and some Germans are Insect collectors.,All Insect collectors are Clergys.,2
90059,2,All Germans are Commercial divers and some Germans are Insect collectors.,All Insect collectors are Commercial divers.,2
90060,2,All Ghanaians are Bailiffs and some Ghanaians are Insect collectors.,All Insect collectors are Bailiffs.,2
90061,2,All Ghanaians are Bakers and some Ghanaians are Insect collectors.,All Insect collectors are Bakers.,2
90062,2,All Ghanaians are Barbers and some Ghanaians are Insect collectors.,All Insect collectors are Barbers.,2
90063,2,All Ghanaians are Bartenders and some Ghanaians are Insect collectors.,All Insect collectors are Bartenders.,2
90064,2,All Ghanaians are Boilermakers and some Ghanaians are Insect collectors.,All Insect collectors are Boilermakers.,2
90065,2,All Ghanaians are Brokerage clerks and some Ghanaians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90066,2,All Ghanaians are Budget analysts and some Ghanaians are Insect collectors.,All Insect collectors are Budget analysts.,2
90067,2,All Ghanaians are Carpenters and some Ghanaians are Insect collectors.,All Insect collectors are Carpenters.,2
90068,2,All Ghanaians are Cashiers and some Ghanaians are Insect collectors.,All Insect collectors are Cashiers.,2
90069,2,All Ghanaians are Chief executives and some Ghanaians are Insect collectors.,All Insect collectors are Chief executives.,2
90070,2,All Ghanaians are Childcare workers and some Ghanaians are Insect collectors.,All Insect collectors are Childcare workers.,2
90071,2,All Ghanaians are Chiropractors and some Ghanaians are Insect collectors.,All Insect collectors are Chiropractors.,2
90072,2,All Ghanaians are Civil engineers and some Ghanaians are Insect collectors.,All Insect collectors are Civil engineers.,2
90073,2,All Ghanaians are Clergys and some Ghanaians are Insect collectors.,All Insect collectors are Clergys.,2
90074,2,All Ghanaians are Commercial divers and some Ghanaians are Insect collectors.,All Insect collectors are Commercial divers.,2
90075,2,All Gibraltarians are Bailiffs and some Gibraltarians are Insect collectors.,All Insect collectors are Bailiffs.,2
90076,2,All Gibraltarians are Bakers and some Gibraltarians are Insect collectors.,All Insect collectors are Bakers.,2
90077,2,All Gibraltarians are Barbers and some Gibraltarians are Insect collectors.,All Insect collectors are Barbers.,2
90078,2,All Gibraltarians are Bartenders and some Gibraltarians are Insect collectors.,All Insect collectors are Bartenders.,2
90079,2,All Gibraltarians are Boilermakers and some Gibraltarians are Insect collectors.,All Insect collectors are Boilermakers.,2
90080,2,All Gibraltarians are Brokerage clerks and some Gibraltarians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90081,2,All Gibraltarians are Budget analysts and some Gibraltarians are Insect collectors.,All Insect collectors are Budget analysts.,2
90082,2,All Gibraltarians are Carpenters and some Gibraltarians are Insect collectors.,All Insect collectors are Carpenters.,2
90083,2,All Gibraltarians are Cashiers and some Gibraltarians are Insect collectors.,All Insect collectors are Cashiers.,2
90084,2,All Gibraltarians are Chief executives and some Gibraltarians are Insect collectors.,All Insect collectors are Chief executives.,2
90085,2,All Gibraltarians are Childcare workers and some Gibraltarians are Insect collectors.,All Insect collectors are Childcare workers.,2
90086,2,All Gibraltarians are Chiropractors and some Gibraltarians are Insect collectors.,All Insect collectors are Chiropractors.,2
90087,2,All Gibraltarians are Civil engineers and some Gibraltarians are Insect collectors.,All Insect collectors are Civil engineers.,2
90088,2,All Gibraltarians are Clergys and some Gibraltarians are Insect collectors.,All Insect collectors are Clergys.,2
90089,2,All Gibraltarians are Commercial divers and some Gibraltarians are Insect collectors.,All Insect collectors are Commercial divers.,2
90090,2,All Greeks are Bailiffs and some Greeks are Insect collectors.,All Insect collectors are Bailiffs.,2
90091,2,All Greeks are Bakers and some Greeks are Insect collectors.,All Insect collectors are Bakers.,2
90092,2,All Greeks are Barbers and some Greeks are Insect collectors.,All Insect collectors are Barbers.,2
90093,2,All Greeks are Bartenders and some Greeks are Insect collectors.,All Insect collectors are Bartenders.,2
90094,2,All Greeks are Boilermakers and some Greeks are Insect collectors.,All Insect collectors are Boilermakers.,2
90095,2,All Greeks are Brokerage clerks and some Greeks are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90096,2,All Greeks are Budget analysts and some Greeks are Insect collectors.,All Insect collectors are Budget analysts.,2
90097,2,All Greeks are Carpenters and some Greeks are Insect collectors.,All Insect collectors are Carpenters.,2
90098,2,All Greeks are Cashiers and some Greeks are Insect collectors.,All Insect collectors are Cashiers.,2
90099,2,All Greeks are Chief executives and some Greeks are Insect collectors.,All Insect collectors are Chief executives.,2
90100,2,All Greeks are Childcare workers and some Greeks are Insect collectors.,All Insect collectors are Childcare workers.,2
90101,2,All Greeks are Chiropractors and some Greeks are Insect collectors.,All Insect collectors are Chiropractors.,2
90102,2,All Greeks are Civil engineers and some Greeks are Insect collectors.,All Insect collectors are Civil engineers.,2
90103,2,All Greeks are Clergys and some Greeks are Insect collectors.,All Insect collectors are Clergys.,2
90104,2,All Greeks are Commercial divers and some Greeks are Insect collectors.,All Insect collectors are Commercial divers.,2
90105,2,All Greenlandics are Bailiffs and some Greenlandics are Insect collectors.,All Insect collectors are Bailiffs.,2
90106,2,All Greenlandics are Bakers and some Greenlandics are Insect collectors.,All Insect collectors are Bakers.,2
90107,2,All Greenlandics are Barbers and some Greenlandics are Insect collectors.,All Insect collectors are Barbers.,2
90108,2,All Greenlandics are Bartenders and some Greenlandics are Insect collectors.,All Insect collectors are Bartenders.,2
90109,2,All Greenlandics are Boilermakers and some Greenlandics are Insect collectors.,All Insect collectors are Boilermakers.,2
90110,2,All Greenlandics are Brokerage clerks and some Greenlandics are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90111,2,All Greenlandics are Budget analysts and some Greenlandics are Insect collectors.,All Insect collectors are Budget analysts.,2
90112,2,All Greenlandics are Carpenters and some Greenlandics are Insect collectors.,All Insect collectors are Carpenters.,2
90113,2,All Greenlandics are Cashiers and some Greenlandics are Insect collectors.,All Insect collectors are Cashiers.,2
90114,2,All Greenlandics are Chief executives and some Greenlandics are Insect collectors.,All Insect collectors are Chief executives.,2
90115,2,All Greenlandics are Childcare workers and some Greenlandics are Insect collectors.,All Insect collectors are Childcare workers.,2
90116,2,All Greenlandics are Chiropractors and some Greenlandics are Insect collectors.,All Insect collectors are Chiropractors.,2
90117,2,All Greenlandics are Civil engineers and some Greenlandics are Insect collectors.,All Insect collectors are Civil engineers.,2
90118,2,All Greenlandics are Clergys and some Greenlandics are Insect collectors.,All Insect collectors are Clergys.,2
90119,2,All Greenlandics are Commercial divers and some Greenlandics are Insect collectors.,All Insect collectors are Commercial divers.,2
90120,2,All Grenadians are Bailiffs and some Grenadians are Insect collectors.,All Insect collectors are Bailiffs.,2
90121,2,All Grenadians are Bakers and some Grenadians are Insect collectors.,All Insect collectors are Bakers.,2
90122,2,All Grenadians are Barbers and some Grenadians are Insect collectors.,All Insect collectors are Barbers.,2
90123,2,All Grenadians are Bartenders and some Grenadians are Insect collectors.,All Insect collectors are Bartenders.,2
90124,2,All Grenadians are Boilermakers and some Grenadians are Insect collectors.,All Insect collectors are Boilermakers.,2
90125,2,All Grenadians are Brokerage clerks and some Grenadians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90126,2,All Grenadians are Budget analysts and some Grenadians are Insect collectors.,All Insect collectors are Budget analysts.,2
90127,2,All Grenadians are Carpenters and some Grenadians are Insect collectors.,All Insect collectors are Carpenters.,2
90128,2,All Grenadians are Cashiers and some Grenadians are Insect collectors.,All Insect collectors are Cashiers.,2
90129,2,All Grenadians are Chief executives and some Grenadians are Insect collectors.,All Insect collectors are Chief executives.,2
90130,2,All Grenadians are Childcare workers and some Grenadians are Insect collectors.,All Insect collectors are Childcare workers.,2
90131,2,All Grenadians are Chiropractors and some Grenadians are Insect collectors.,All Insect collectors are Chiropractors.,2
90132,2,All Grenadians are Civil engineers and some Grenadians are Insect collectors.,All Insect collectors are Civil engineers.,2
90133,2,All Grenadians are Clergys and some Grenadians are Insect collectors.,All Insect collectors are Clergys.,2
90134,2,All Grenadians are Commercial divers and some Grenadians are Insect collectors.,All Insect collectors are Commercial divers.,2
90135,2,All Guamanians are Bailiffs and some Guamanians are Insect collectors.,All Insect collectors are Bailiffs.,2
90136,2,All Guamanians are Bakers and some Guamanians are Insect collectors.,All Insect collectors are Bakers.,2
90137,2,All Guamanians are Barbers and some Guamanians are Insect collectors.,All Insect collectors are Barbers.,2
90138,2,All Guamanians are Bartenders and some Guamanians are Insect collectors.,All Insect collectors are Bartenders.,2
90139,2,All Guamanians are Boilermakers and some Guamanians are Insect collectors.,All Insect collectors are Boilermakers.,2
90140,2,All Guamanians are Brokerage clerks and some Guamanians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90141,2,All Guamanians are Budget analysts and some Guamanians are Insect collectors.,All Insect collectors are Budget analysts.,2
90142,2,All Guamanians are Carpenters and some Guamanians are Insect collectors.,All Insect collectors are Carpenters.,2
90143,2,All Guamanians are Cashiers and some Guamanians are Insect collectors.,All Insect collectors are Cashiers.,2
90144,2,All Guamanians are Chief executives and some Guamanians are Insect collectors.,All Insect collectors are Chief executives.,2
90145,2,All Guamanians are Childcare workers and some Guamanians are Insect collectors.,All Insect collectors are Childcare workers.,2
90146,2,All Guamanians are Chiropractors and some Guamanians are Insect collectors.,All Insect collectors are Chiropractors.,2
90147,2,All Guamanians are Civil engineers and some Guamanians are Insect collectors.,All Insect collectors are Civil engineers.,2
90148,2,All Guamanians are Clergys and some Guamanians are Insect collectors.,All Insect collectors are Clergys.,2
90149,2,All Guamanians are Commercial divers and some Guamanians are Insect collectors.,All Insect collectors are Commercial divers.,2
90150,2,All Guatemalans are Bailiffs and some Guatemalans are Insect collectors.,All Insect collectors are Bailiffs.,2
90151,2,All Guatemalans are Bakers and some Guatemalans are Insect collectors.,All Insect collectors are Bakers.,2
90152,2,All Guatemalans are Barbers and some Guatemalans are Insect collectors.,All Insect collectors are Barbers.,2
90153,2,All Guatemalans are Bartenders and some Guatemalans are Insect collectors.,All Insect collectors are Bartenders.,2
90154,2,All Guatemalans are Boilermakers and some Guatemalans are Insect collectors.,All Insect collectors are Boilermakers.,2
90155,2,All Guatemalans are Brokerage clerks and some Guatemalans are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90156,2,All Guatemalans are Budget analysts and some Guatemalans are Insect collectors.,All Insect collectors are Budget analysts.,2
90157,2,All Guatemalans are Carpenters and some Guatemalans are Insect collectors.,All Insect collectors are Carpenters.,2
90158,2,All Guatemalans are Cashiers and some Guatemalans are Insect collectors.,All Insect collectors are Cashiers.,2
90159,2,All Guatemalans are Chief executives and some Guatemalans are Insect collectors.,All Insect collectors are Chief executives.,2
90160,2,All Guatemalans are Childcare workers and some Guatemalans are Insect collectors.,All Insect collectors are Childcare workers.,2
90161,2,All Guatemalans are Chiropractors and some Guatemalans are Insect collectors.,All Insect collectors are Chiropractors.,2
90162,2,All Guatemalans are Civil engineers and some Guatemalans are Insect collectors.,All Insect collectors are Civil engineers.,2
90163,2,All Guatemalans are Clergys and some Guatemalans are Insect collectors.,All Insect collectors are Clergys.,2
90164,2,All Guatemalans are Commercial divers and some Guatemalans are Insect collectors.,All Insect collectors are Commercial divers.,2
90165,2,All Guineans are Bailiffs and some Guineans are Insect collectors.,All Insect collectors are Bailiffs.,2
90166,2,All Guineans are Bakers and some Guineans are Insect collectors.,All Insect collectors are Bakers.,2
90167,2,All Guineans are Barbers and some Guineans are Insect collectors.,All Insect collectors are Barbers.,2
90168,2,All Guineans are Bartenders and some Guineans are Insect collectors.,All Insect collectors are Bartenders.,2
90169,2,All Guineans are Boilermakers and some Guineans are Insect collectors.,All Insect collectors are Boilermakers.,2
90170,2,All Guineans are Brokerage clerks and some Guineans are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90171,2,All Guineans are Budget analysts and some Guineans are Insect collectors.,All Insect collectors are Budget analysts.,2
90172,2,All Guineans are Carpenters and some Guineans are Insect collectors.,All Insect collectors are Carpenters.,2
90173,2,All Guineans are Cashiers and some Guineans are Insect collectors.,All Insect collectors are Cashiers.,2
90174,2,All Guineans are Chief executives and some Guineans are Insect collectors.,All Insect collectors are Chief executives.,2
90175,2,All Guineans are Childcare workers and some Guineans are Insect collectors.,All Insect collectors are Childcare workers.,2
90176,2,All Guineans are Chiropractors and some Guineans are Insect collectors.,All Insect collectors are Chiropractors.,2
90177,2,All Guineans are Civil engineers and some Guineans are Insect collectors.,All Insect collectors are Civil engineers.,2
90178,2,All Guineans are Clergys and some Guineans are Insect collectors.,All Insect collectors are Clergys.,2
90179,2,All Guineans are Commercial divers and some Guineans are Insect collectors.,All Insect collectors are Commercial divers.,2
90180,2,All Guyanese are Bailiffs and some Guyanese are Insect collectors.,All Insect collectors are Bailiffs.,2
90181,2,All Guyanese are Bakers and some Guyanese are Insect collectors.,All Insect collectors are Bakers.,2
90182,2,All Guyanese are Barbers and some Guyanese are Insect collectors.,All Insect collectors are Barbers.,2
90183,2,All Guyanese are Bartenders and some Guyanese are Insect collectors.,All Insect collectors are Bartenders.,2
90184,2,All Guyanese are Boilermakers and some Guyanese are Insect collectors.,All Insect collectors are Boilermakers.,2
90185,2,All Guyanese are Brokerage clerks and some Guyanese are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90186,2,All Guyanese are Budget analysts and some Guyanese are Insect collectors.,All Insect collectors are Budget analysts.,2
90187,2,All Guyanese are Carpenters and some Guyanese are Insect collectors.,All Insect collectors are Carpenters.,2
90188,2,All Guyanese are Cashiers and some Guyanese are Insect collectors.,All Insect collectors are Cashiers.,2
90189,2,All Guyanese are Chief executives and some Guyanese are Insect collectors.,All Insect collectors are Chief executives.,2
90190,2,All Guyanese are Childcare workers and some Guyanese are Insect collectors.,All Insect collectors are Childcare workers.,2
90191,2,All Guyanese are Chiropractors and some Guyanese are Insect collectors.,All Insect collectors are Chiropractors.,2
90192,2,All Guyanese are Civil engineers and some Guyanese are Insect collectors.,All Insect collectors are Civil engineers.,2
90193,2,All Guyanese are Clergys and some Guyanese are Insect collectors.,All Insect collectors are Clergys.,2
90194,2,All Guyanese are Commercial divers and some Guyanese are Insect collectors.,All Insect collectors are Commercial divers.,2
90195,2,All Haitians are Bailiffs and some Haitians are Insect collectors.,All Insect collectors are Bailiffs.,2
90196,2,All Haitians are Bakers and some Haitians are Insect collectors.,All Insect collectors are Bakers.,2
90197,2,All Haitians are Barbers and some Haitians are Insect collectors.,All Insect collectors are Barbers.,2
90198,2,All Haitians are Bartenders and some Haitians are Insect collectors.,All Insect collectors are Bartenders.,2
90199,2,All Haitians are Boilermakers and some Haitians are Insect collectors.,All Insect collectors are Boilermakers.,2
90200,2,All Haitians are Brokerage clerks and some Haitians are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90201,2,All Haitians are Budget analysts and some Haitians are Insect collectors.,All Insect collectors are Budget analysts.,2
90202,2,All Haitians are Carpenters and some Haitians are Insect collectors.,All Insect collectors are Carpenters.,2
90203,2,All Haitians are Cashiers and some Haitians are Insect collectors.,All Insect collectors are Cashiers.,2
90204,2,All Haitians are Chief executives and some Haitians are Insect collectors.,All Insect collectors are Chief executives.,2
90205,2,All Haitians are Childcare workers and some Haitians are Insect collectors.,All Insect collectors are Childcare workers.,2
90206,2,All Haitians are Chiropractors and some Haitians are Insect collectors.,All Insect collectors are Chiropractors.,2
90207,2,All Haitians are Civil engineers and some Haitians are Insect collectors.,All Insect collectors are Civil engineers.,2
90208,2,All Haitians are Clergys and some Haitians are Insect collectors.,All Insect collectors are Clergys.,2
90209,2,All Haitians are Commercial divers and some Haitians are Insect collectors.,All Insect collectors are Commercial divers.,2
90210,2,All Hondurans are Bailiffs and some Hondurans are Insect collectors.,All Insect collectors are Bailiffs.,2
90211,2,All Hondurans are Bakers and some Hondurans are Insect collectors.,All Insect collectors are Bakers.,2
90212,2,All Hondurans are Barbers and some Hondurans are Insect collectors.,All Insect collectors are Barbers.,2
90213,2,All Hondurans are Bartenders and some Hondurans are Insect collectors.,All Insect collectors are Bartenders.,2
90214,2,All Hondurans are Boilermakers and some Hondurans are Insect collectors.,All Insect collectors are Boilermakers.,2
90215,2,All Hondurans are Brokerage clerks and some Hondurans are Insect collectors.,All Insect collectors are Brokerage clerks.,2
90216,2,All Hondurans are Budget analysts and some Hondurans are Insect collectors.,All Insect collectors are Budget analysts.,2
90217,2,All Hondurans are Carpenters and some Hondurans are Insect collectors.,All Insect collectors are Carpenters.,2
90218,2,All Hondurans are Cashiers and some Hondurans are Insect collectors.,All Insect collectors are Cashiers.,2
90219,2,All Hondurans are Chief executives and some Hondurans are Insect collectors.,All Insect collectors are Chief executives.,2
90220,2,All Hondurans are Childcare workers and some Hondurans are Insect collectors.,All Insect collectors are Childcare workers.,2
90221,2,All Hondurans are Chiropractors and some Hondurans are Insect collectors.,All Insect collectors are Chiropractors.,2
90222,2,All Hondurans are Civil engineers and some Hondurans are Insect collectors.,All Insect collectors are Civil engineers.,2
90223,2,All Hondurans are Clergys and some Hondurans are Insect collectors.,All Insect collectors are Clergys.,2
90224,2,All Hondurans are Commercial divers and some Hondurans are Insect collectors.,All Insect collectors are Commercial divers.,2
90225,2,All Gabonese are Bailiffs and some Gabonese are Leaves collectors.,All Leaves collectors are Bailiffs.,2
90226,2,All Gabonese are Bakers and some Gabonese are Leaves collectors.,All Leaves collectors are Bakers.,2
90227,2,All Gabonese are Barbers and some Gabonese are Leaves collectors.,All Leaves collectors are Barbers.,2
90228,2,All Gabonese are Bartenders and some Gabonese are Leaves collectors.,All Leaves collectors are Bartenders.,2
90229,2,All Gabonese are Boilermakers and some Gabonese are Leaves collectors.,All Leaves collectors are Boilermakers.,2
90230,2,All Gabonese are Brokerage clerks and some Gabonese are Leaves collectors.,All Leaves collectors are Brokerage clerks.,2
90231,2,All Gabonese are Budget analysts and some Gabonese are Leaves collectors.,All Leaves collectors are Budget analysts.,2
90232,2,All Gabonese are Carpenters and some Gabonese are Leaves collectors.,All Leaves collectors are Carpenters.,2
90233,2,All Gabonese are Cashiers and some Gabonese are Leaves collectors.,All Leaves collectors are Cashiers.,2
90234,2,All Gabonese are Chief executives and some Gabonese are Leaves collectors.,All Leaves collectors are Chief executives.,2
90235,2,All Gabonese are Childcare workers and some Gabonese are Leaves collectors.,All Leaves collectors are Childcare workers.,2
90236,2,All Gabonese are Chiropractors and some Gabonese are Leaves collectors.,All Leaves collectors are Chiropractors.,2
90237,2,All Gabonese are Civil engineers and some Gabonese are Leaves collectors.,All Leaves collectors are Civil engineers.,2
90238,2,All Gabonese are Clergys and some Gabonese are Leaves collectors.,All Leaves collectors are Clergys.,2
90239,2,All Gabonese are Commercial divers and some Gabonese are Leaves collectors.,All Leaves collectors are Commercial divers.,2
90240,2,All Gambians are Bailiffs and some Gambians are Leaves collectors.,All Leaves collectors are Bailiffs.,2
90241,2,All Gambians are Bakers and some Gambians are Leaves collectors.,All Leaves collectors are Bakers.,2
90242,2,All Gambians are Barbers and some Gambians are Leaves collectors.,All Leaves collectors are Barbers.,2
90243,2,All Gambians are Bartenders and some Gambians are Leaves collectors.,All Leaves collectors are Bartenders.,2
90244,2,All Gambians are Boilermakers and some Gambians are Leaves collectors.,All Leaves collectors are Boilermakers.,2
90245,2,All Gambians are Brokerage clerks and some Gambians are Leaves collectors.,All Leaves collectors are Brokerage clerks.,2
90246,2,All Gambians are Budget analysts and some Gambians are Leaves collectors.,All Leaves collectors are Budget analysts.,2
90247,2,All Gambians are Carpenters and some Gambians are Leaves collectors.,All Leaves collectors are Carpenters.,2
90248,2,All Gambians are Cashiers and some Gambians are Leaves collectors.,All Leaves collectors are Cashiers.,2
90249,2,All Gambians are Chief executives and some Gambians are Leaves collectors.,All Leaves collectors are Chief executives.,2
90250,2,All Gambians are Childcare workers and some Gambians are Leaves collectors.,All Leaves collectors are Childcare workers.,2
90251,2,All Gambians are Chiropractors and some Gambians are Leaves collectors.,All Leaves collectors are Chiropractors.,2
90252,2,All Gambians are Civil engineers and some Gambians are Leaves collectors.,All Leaves collectors are Civil engineers.,2
90253,2,All Gambians are Clergys and some Gambians are Leaves collectors.,All Leaves collectors are Clergys.,2
90254,2,All Gambians are Commercial divers and some Gambians are Leaves collectors.,All Leaves collectors are Commercial divers.,2
90255,2,All Georgians are Bailiffs and some Georgians are Leaves collectors.,All Leaves collectors are Bailiffs.,2
90256,2,All Georgians are Bakers and some Georgians are Leaves collectors.,All Leaves collectors are Bakers.,2
90257,2,All Georgians are Barbers and some Georgians are Leaves collectors.,All Leaves collectors are Barbers.,2
90258,2,All Georgians are Bartenders and some Georgians are Leaves collectors.,All Leaves collectors are Bartenders.,2
90259,2,All Georgians are Boilermakers and some Georgians are Leaves collectors.,All Leaves collectors are Boilermakers.,2
90260,2,All Georgians are Brokerage clerks and some Georgians are Leaves collectors.,All Leaves collectors are Brokerage clerks.,2
90261,2,All Georgians are Budget analysts and some Georgians are Leaves collectors.,All Leaves collectors are Budget analysts.,2
90262,2,All Georgians are Carpenters and some Georgians are Leaves collectors.,All Leaves collectors are Carpenters.,2
90263,2,All Georgians are Cashiers and some Georgians are Leaves collectors.,All Leaves collectors are Cashiers.,2
90264,2,All Georgians are Chief executives and some Georgians are Leaves collectors.,All Leaves collectors are Chief executives.,2
90265,2,All Georgians are Childcare workers and some Georgians are Leaves collectors.,All Leaves collectors are Childcare workers.,2
90266,2,All Georgians are Chiropractors and some Georgians are Leaves collectors.,All Leaves collectors are Chiropractors.,2
90267,2,All Georgians are Civil engineers and some Georgians are Leaves collectors.,All Leaves collectors are Civil engineers.,2
90268,2,All Georgians are Clergys and some Georgians are Leaves collectors.,All Leaves collectors are Clergys.,2
90269,2,All Georgians are Commercial divers and some Georgians are Leaves collectors.,All Leaves collectors are Commercial divers.,2
90270,2,All Germans are Bailiffs and some Germans are Leaves collectors.,All Leaves collectors are Bailiffs.,2
90271,2,All Germans are Bakers and some Germans are Leaves collectors.,All Leaves collectors are Bakers.,2
90272,2,All Germans are Barbers and some Germans are Leaves collectors.,All Leaves collectors are Barbers.,2
